week_end,jurisdiction,rsv_pct,rsv_pct_smoothed,covid_pct,flu_pct,combined_pct,season,in_fixed_window,state_abbrev,hhs_region,is_southeast,is_comparator
2023-08-05,Oregon,0.0,0.0,1.26,0.07,1.33,2023-2024,False,OR,10,False,False
2023-08-05,Kansas,0.02,0.01,0.59,0.05,0.65,2023-2024,False,KS,7,False,False
2023-08-05,Washington,0.01,0.01,1.56,0.09,1.66,2023-2024,False,WA,10,False,False
2023-08-05,Texas,0.08,0.07,1.72,0.22,2.0,2023-2024,False,TX,6,False,False
2023-08-05,South Carolina,0.03,0.02,2.02,0.21,2.24,2023-2024,False,SC,4,True,False
2023-08-05,North Dakota,0.02,0.02,0.64,0.08,0.74,2023-2024,False,ND,8,False,False
2023-08-05,Vermont,0.0,0.0,1.25,0.02,1.27,2023-2024,False,VT,1,False,False
2023-08-05,South Dakota,0.0,0.0,0.41,0.0,,2023-2024,False,SD,8,False,False
2023-08-05,Rhode Island,0.0,0.01,0.56,0.03,0.6,2023-2024,False,RI,1,False,False
2023-08-05,Ohio,0.01,0.01,0.66,0.04,0.71,2023-2024,False,OH,5,False,False
2023-08-05,New Jersey,0.03,0.02,0.78,0.1,0.9,2023-2024,False,NJ,2,False,False
2023-08-05,Minnesota,0.01,0.01,0.8,0.09,0.89,2023-2024,False,MN,5,False,True
2023-08-05,Hawaii,0.05,0.03,3.46,1.22,4.69,2023-2024,False,HI,9,False,False
2023-08-05,District of Columbia,0.03,0.03,1.0,0.05,1.08,2023-2024,False,DC,3,False,False
2023-08-05,Delaware,0.03,0.02,1.04,0.05,1.12,2023-2024,False,DE,3,False,False
2023-08-05,Arkansas,0.03,0.03,0.99,0.17,1.17,2023-2024,False,AR,6,True,False
2023-08-05,New York,0.02,0.01,0.81,0.06,0.89,2023-2024,False,NY,2,False,True
2023-08-05,Montana,0.0,0.0,0.73,0.03,0.76,2023-2024,False,MT,8,False,False
2023-08-05,Kentucky,0.04,0.02,1.03,0.09,1.15,2023-2024,False,KY,4,False,False
2023-08-05,Connecticut,0.01,0.0,1.03,0.03,1.08,2023-2024,False,CT,1,False,False
